Format: DDD  M/D/Y H:M:S  -5.00 hrs  Datum[115]: WGS 84
ID	Date Time	Latitude	Longitude	Altitude
L	ACTIVE LOG
T	11/26/2012 15:29:58	30.31799	-97.68054	174.1
T	11/26/2012 15:30:03	30.31840	-97.68029	172.7
T	11/26/2012 15:30:07	30.31875	-97.68007	168.8
T	11/26/2012 15:30:11	30.31907	-97.67985	166.0
T	11/26/2012 15:30:20	30.31990	-97.67932	164.5
T	11/26/2012 15:30:22	30.32007	-97.67922	163.1
T	11/26/2012 15:30:24	30.32025	-97.67914	161.6
T	11/26/2012 15:30:32	30.32118	-97.67904	165.0
T	11/26/2012 15:30:38	30.32176	-97.67926	165.0
T	11/26/2012 15:30:41	30.32194	-97.67937	166.0
T	11/26/2012 15:30:50	30.32259	-97.68012	166.9
T	11/26/2012 15:30:56	30.32277	-97.68038	166.0
T	11/26/2012 15:31:03	30.32277	-97.68038	165.0
T	11/26/2012 15:31:08	30.32293	-97.68015	165.0
T	11/26/2012 15:31:15	30.32331	-97.67899	163.6
T	11/26/2012 15:31:27	30.32413	-97.67633	165.5
T	11/26/2012 15:31:34	30.32445	-97.67485	168.8
T	11/26/2012 15:31:42	30.32488	-97.67322	167.4
T	11/26/2012 15:31:47	30.32512	-97.67254	165.0
T	11/26/2012 15:31:49	30.32519	-97.67236	165.0
T	11/26/2012 15:31:55	30.32550	-97.67240	165.5
T	11/26/2012 15:31:56	30.32557	-97.67248	166.9
T	11/26/2012 15:32:05	30.32634	-97.67358	166.0
T	11/26/2012 15:32:10	30.32685	-97.67427	169.3
T	11/26/2012 15:32:11	30.32695	-97.67441	167.9
T	11/26/2012 15:32:14	30.32728	-97.67484	166.0
T	11/26/2012 15:32:22	30.32805	-97.67595	169.3
T	11/26/2012 15:32:23	30.32814	-97.67611	169.3
T	11/26/2012 15:32:34	30.32917	-97.67810	166.9
T	11/26/2012 15:32:35	30.32926	-97.67830	167.4
T	11/26/2012 15:32:40	30.32973	-97.67928	168.4
T	11/26/2012 15:32:46	30.33029	-97.68046	172.2
T	11/26/2012 15:32:47	30.33038	-97.68066	172.2
T	11/26/2012 15:32:51	30.33078	-97.68147	174.1
T	11/26/2012 15:32:54	30.33108	-97.68206	177.5
T	11/26/2012 15:32:58	30.33145	-97.68282	180.9
T	11/26/2012 15:32:59	30.33153	-97.68300	180.9
T	11/26/2012 15:33:03	30.33181	-97.68365	178.9
T	11/26/2012 15:33:13	30.33240	-97.68512	177.5
T	11/26/2012 15:33:16	30.33253	-97.68545	176.1
T	11/26/2012 15:33:23	30.33267	-97.68579	175.6
T	11/26/2012 15:33:35	30.33268	-97.68578	176.1
T	11/26/2012 15:34:44	30.33276	-97.68606	175.6
T	11/26/2012 15:34:51	30.33312	-97.68693	176.1
T	11/26/2012 15:35:00	30.33390	-97.68855	178.9
T	11/26/2012 15:35:05	30.33440	-97.68956	182.3
T	11/26/2012 15:35:09	30.33482	-97.69043	183.7
T	11/26/2012 15:35:17	30.33564	-97.69231	186.6
T	11/26/2012 15:35:21	30.33604	-97.69329	190.0
T	11/26/2012 15:35:25	30.33646	-97.69426	193.8
T	11/26/2012 15:35:29	30.33691	-97.69523	197.2
T	11/26/2012 15:35:32	30.33724	-97.69595	201.5
T	11/26/2012 15:35:36	30.33767	-97.69692	205.4
T	11/26/2012 15:35:39	30.33800	-97.69765	208.7
T	11/26/2012 15:35:41	30.33824	-97.69813	209.7
T	11/26/2012 15:35:47	30.33900	-97.69961	212.6
T	11/26/2012 15:35:55	30.34030	-97.70150	213.6
T	11/26/2012 15:36:04	30.34222	-97.70325	216.4
T	11/26/2012 15:36:13	30.34399	-97.70526	217.9
T	11/26/2012 15:36:25	30.34582	-97.70842	219.8
T	11/26/2012 15:36:30	30.34637	-97.70979	222.7
T	11/26/2012 15:36:31	30.34648	-97.71006	223.2
T	11/26/2012 15:36:33	30.34668	-97.71062	226.5
T	11/26/2012 15:36:35	30.34689	-97.71116	227.0
T	11/26/2012 15:36:40	30.34766	-97.71238	228.5
T	11/26/2012 15:36:45	30.34880	-97.71317	228.9
T	11/26/2012 15:36:48	30.34959	-97.71343	226.0
T	11/26/2012 15:36:52	30.35067	-97.71375	229.4
T	11/26/2012 15:36:58	30.35223	-97.71421	231.3
T	11/26/2012 15:37:18	30.35746	-97.71576	234.2
T	11/26/2012 15:37:35	30.36190	-97.71709	231.8
T	11/26/2012 15:37:48	30.36536	-97.71800	228.9
T	11/26/2012 15:37:56	30.36749	-97.71839	225.1
T	11/26/2012 15:37:58	30.36800	-97.71855	221.7
T	11/26/2012 15:38:00	30.36850	-97.71877	219.8
T	11/26/2012 15:38:03	30.36919	-97.71919	216.0
T	11/26/2012 15:38:08	30.37025	-97.72010	212.6
T	11/26/2012 15:38:14	30.37113	-97.72147	215.5
T	11/26/2012 15:38:16	30.37134	-97.72196	218.8
T	11/26/2012 15:38:19	30.37164	-97.72269	221.2
T	11/26/2012 15:38:21	30.37184	-97.72317	223.2
T	11/26/2012 15:38:25	30.37227	-97.72414	226.0
T	11/26/2012 15:38:28	30.37264	-97.72487	228.5
T	11/26/2012 15:38:45	30.37472	-97.72916	225.6
T	11/26/2012 15:38:47	30.37498	-97.72969	222.2
T	11/26/2012 15:38:48	30.37510	-97.72995	222.2
T	11/26/2012 15:39:00	30.37680	-97.73297	224.6
T	11/26/2012 15:39:03	30.37728	-97.73360	228.0
T	11/26/2012 15:39:06	30.37778	-97.73419	229.9
T	11/26/2012 15:39:11	30.37861	-97.73520	233.3
T	11/26/2012 15:39:14	30.37911	-97.73578	233.7
T	11/26/2012 15:39:20	30.38028	-97.73640	234.7
T	11/26/2012 15:39:23	30.38094	-97.73635	234.2
T	11/26/2012 15:39:27	30.38188	-97.73610	231.3
T	11/26/2012 15:39:31	30.38287	-97.73585	227.0
T	11/26/2012 15:39:32	30.38313	-97.73579	227.0
T	11/26/2012 15:39:36	30.38417	-97.73554	223.6
T	11/26/2012 15:39:46	30.38690	-97.73487	227.0
T	11/26/2012 15:39:56	30.38956	-97.73419	229.9
T	11/26/2012 15:40:16	30.39491	-97.73281	230.9
T	11/26/2012 15:40:26	30.39756	-97.73183	232.3
T	11/26/2012 15:40:34	30.39944	-97.73071	235.7
T	11/26/2012 15:40:35	30.39965	-97.73056	235.7
T	11/26/2012 15:40:43	30.40132	-97.72923	237.1
T	11/26/2012 15:40:54	30.40354	-97.72691	237.1
T	11/26/2012 15:40:57	30.40412	-97.72619	233.7
T	11/26/2012 15:41:03	30.40521	-97.72464	229.4
T	11/26/2012 15:41:07	30.40588	-97.72354	227.5
T	11/26/2012 15:41:17	30.40728	-97.72072	224.1
T	11/26/2012 15:41:22	30.40777	-97.71924	220.8
T	11/26/2012 15:41:25	30.40797	-97.71833	216.9
T	11/26/2012 15:41:28	30.40812	-97.71741	213.1
T	11/26/2012 15:41:31	30.40824	-97.71650	210.2
T	11/26/2012 15:41:38	30.40858	-97.71444	206.3
T	11/26/2012 15:41:46	30.40934	-97.71229	206.8
T	11/26/2012 15:41:55	30.41057	-97.71027	209.7
T	11/26/2012 15:42:01	30.41146	-97.70923	212.1
T	11/26/2012 15:42:13	30.41318	-97.70726	211.1
T	11/26/2012 15:42:21	30.41437	-97.70616	211.1
T	11/26/2012 15:42:24	30.41488	-97.70584	212.6
T	11/26/2012 15:42:35	30.41697	-97.70489	212.6
T	11/26/2012 15:42:40	30.41793	-97.70453	209.2
T	11/26/2012 15:42:43	30.41847	-97.70426	207.8
T	11/26/2012 15:42:50	30.41944	-97.70377	208.3
T	11/26/2012 15:42:51	30.41954	-97.70373	208.3
T	11/26/2012 15:42:53	30.41974	-97.70366	209.7
T	11/26/2012 15:43:00	30.42025	-97.70351	210.7
T	11/26/2012 15:43:07	30.42120	-97.70320	210.2
T	11/26/2012 15:43:18	30.42273	-97.70271	208.3
T	11/26/2012 15:43:21	30.42306	-97.70263	209.7
T	11/26/2012 15:43:26	30.42341	-97.70255	209.7
T	11/26/2012 15:43:32	30.42346	-97.70224	211.6
T	11/26/2012 15:43:45	30.42305	-97.70144	211.1
T	11/26/2012 15:43:54	30.42302	-97.70134	211.1
T	11/26/2012 15:43:57	30.42307	-97.70123	211.1
T	11/26/2012 15:44:01	30.42307	-97.70103	211.6
T	11/26/2012 15:44:10	30.42290	-97.70066	211.6

T	11/26/2012 16:03:57	30.42281	-97.70067	213.1
T	11/26/2012 16:03:58	30.42281	-97.70067	211.6

T	11/26/2012 16:03:59	30.42285	-97.70066	212.1
T	11/26/2012 16:04:08	30.42286	-97.70064	214.5
T	11/26/2012 16:04:19	30.42278	-97.70050	216.0
T	11/26/2012 16:04:21	30.42277	-97.70049	216.9
T	11/26/2012 16:04:26	30.42270	-97.70050	218.8
T	11/26/2012 16:04:34	30.42226	-97.70066	219.3
T	11/26/2012 16:04:36	30.42212	-97.70069	219.8
T	11/26/2012 16:04:39	30.42196	-97.70076	220.3
T	11/26/2012 16:04:43	30.42184	-97.70086	219.3
T	11/26/2012 16:04:53	30.42160	-97.70101	219.3
T	11/26/2012 16:05:04	30.42116	-97.70129	220.3
T	11/26/2012 16:05:13	30.42085	-97.70149	220.3
T	11/26/2012 16:05:19	30.42067	-97.70160	220.3
T	11/26/2012 16:05:26	30.42066	-97.70178	219.3
T	11/26/2012 16:05:49	30.42063	-97.70177	219.8
T	11/26/2012 16:07:30	30.42063	-97.70177	220.8
T	11/26/2012 16:08:07	30.42064	-97.70174	219.3
T	11/26/2012 16:08:11	30.42073	-97.70191	221.2
T	11/26/2012 16:08:14	30.42083	-97.70208	220.3
T	11/26/2012 16:08:21	30.42060	-97.70234	221.7
T	11/26/2012 16:08:24	30.42045	-97.70227	221.7
T	11/26/2012 16:08:26	30.42035	-97.70220	220.8
T	11/26/2012 16:08:30	30.42021	-97.70218	221.7
T	11/26/2012 16:08:34	30.42005	-97.70232	221.7
T	11/26/2012 16:08:40	30.41982	-97.70252	220.3
T	11/26/2012 16:08:43	30.41971	-97.70265	220.8
T	11/26/2012 16:08:46	30.41964	-97.70276	219.8
T	11/26/2012 16:08:53	30.41986	-97.70319	219.3
T	11/26/2012 16:08:59	30.42001	-97.70342	218.8
T	11/26/2012 16:10:04	30.42002	-97.70344	217.4
T	11/26/2012 16:10:11	30.42035	-97.70394	219.8
T	11/26/2012 16:10:14	30.42057	-97.70430	223.2
T	11/26/2012 16:10:16	30.42073	-97.70457	224.1
T	11/26/2012 16:10:20	30.42107	-97.70517	228.5
T	11/26/2012 16:10:22	30.42126	-97.70551	228.9
T	11/26/2012 16:10:33	30.42234	-97.70766	228.9
T	11/26/2012 16:10:43	30.42336	-97.70975	230.9
T	11/26/2012 16:10:46	30.42366	-97.71038	233.3
T	11/26/2012 16:10:50	30.42405	-97.71124	236.6
T	11/26/2012 16:10:58	30.42464	-97.71282	232.3
T	11/26/2012 16:10:59	30.42471	-97.71299	232.8
T	11/26/2012 16:11:04	30.42505	-97.71384	232.8
T	11/26/2012 16:11:07	30.42529	-97.71433	234.7
T	11/26/2012 16:11:11	30.42552	-97.71484	231.3
T	11/26/2012 16:11:12	30.42556	-97.71493	231.3
T	11/26/2012 16:11:13	30.42559	-97.71501	231.3
T	11/26/2012 16:11:18	30.42582	-97.71500	232.3
T	11/26/2012 16:11:26	30.42624	-97.71479	232.3
T	11/26/2012 16:11:28	30.42632	-97.71494	233.3
T	11/26/2012 16:11:36	30.42661	-97.71558	233.3
T	11/26/2012 16:11:43	30.42703	-97.71543	234.2
T	11/26/2012 16:11:55	30.42794	-97.71481	232.3
T	11/26/2012 16:11:57	30.42807	-97.71473	231.3
T	11/26/2012 16:12:05	30.42852	-97.71445	230.4
T	11/26/2012 16:12:12	30.42872	-97.71446	230.4

T	11/26/2012 16:27:57	30.42872	-97.71446	231.3

T	11/26/2012 16:27:58	30.42872	-97.71431	230.9
T	11/26/2012 16:28:03	30.42873	-97.71435	233.3
T	11/26/2012 16:28:06	30.42873	-97.71436	234.7
T	11/26/2012 16:28:13	30.42873	-97.71438	238.1
T	11/26/2012 16:28:37	30.42873	-97.71441	240.9
T	11/26/2012 16:29:14	30.42872	-97.71440	244.3
T	11/26/2012 16:30:07	30.42872	-97.71440	242.4
T	11/26/2012 16:30:12	30.42871	-97.71437	241.4
T	11/26/2012 16:30:19	30.42838	-97.71459	244.3
T	11/26/2012 16:30:33	30.42731	-97.71525	246.7
T	11/26/2012 16:30:34	30.42723	-97.71530	246.7
T	11/26/2012 16:30:44	30.42669	-97.71564	244.3
T	11/26/2012 16:30:45	30.42667	-97.71565	244.8
T	11/26/2012 16:30:49	30.42657	-97.71556	246.2
T	11/26/2012 16:30:54	30.42636	-97.71517	247.2
T	11/26/2012 16:30:58	30.42623	-97.71485	243.4
T	11/26/2012 16:31:00	30.42619	-97.71477	242.4
T	11/26/2012 16:31:06	30.42596	-97.71485	243.4
T	11/26/2012 16:31:15	30.42577	-97.71508	241.9
T	11/26/2012 16:32:01	30.42577	-97.71507	243.8
T	11/26/2012 16:32:05	30.42560	-97.71519	245.3
T	11/26/2012 16:32:10	30.42529	-97.71495	245.3
T	11/26/2012 16:32:19	30.42483	-97.71399	242.4
T	11/26/2012 16:32:25	30.42474	-97.71379	240.9
T	11/26/2012 16:32:27	30.42473	-97.71376	240.9
T	11/26/2012 16:32:34	30.42445	-97.71307	242.4
T	11/26/2012 16:32:40	30.42409	-97.71203	240.0
T	11/26/2012 16:32:49	30.42323	-97.71009	238.5
T	11/26/2012 16:32:52	30.42290	-97.70941	235.7
T	11/26/2012 16:32:56	30.42244	-97.70849	232.3
T	11/26/2012 16:32:57	30.42233	-97.70827	232.3
T	11/26/2012 16:33:05	30.42146	-97.70651	236.6
T	11/26/2012 16:33:07	30.42126	-97.70611	237.1
T	11/26/2012 16:33:13	30.42069	-97.70507	234.2
T	11/26/2012 16:33:17	30.42030	-97.70482	229.9
T	11/26/2012 16:33:18	30.42018	-97.70482	229.9
T	11/26/2012 16:33:19	30.42004	-97.70485	229.4
T	11/26/2012 16:33:22	30.41960	-97.70499	227.5
T	11/26/2012 16:33:25	30.41906	-97.70516	225.6
T	11/26/2012 16:33:33	30.41740	-97.70571	230.4
T	11/26/2012 16:33:35	30.41697	-97.70586	233.3
T	11/26/2012 16:33:41	30.41573	-97.70643	236.6
T	11/26/2012 16:33:43	30.41533	-97.70667	237.1
T	11/26/2012 16:33:52	30.41357	-97.70811	237.1
T	11/26/2012 16:34:04	30.41128	-97.71033	235.7
T	11/26/2012 16:34:09	30.41040	-97.71146	231.8
T	11/26/2012 16:34:13	30.40981	-97.71249	228.9
T	11/26/2012 16:34:14	30.40968	-97.71276	229.4
T	11/26/2012 16:34:20	30.40904	-97.71439	225.6
T	11/26/2012 16:34:21	30.40895	-97.71468	225.6
T	11/26/2012 16:34:24	30.40874	-97.71556	227.0
T	11/26/2012 16:34:28	30.40854	-97.71677	230.9
T	11/26/2012 16:34:29	30.40849	-97.71707	230.9
T	11/26/2012 16:34:33	30.40830	-97.71829	235.2
T	11/26/2012 16:34:36	30.40813	-97.71918	239.0
T	11/26/2012 16:34:38	30.40799	-97.71976	240.0
T	11/26/2012 16:34:46	30.40714	-97.72193	242.9
T	11/26/2012 16:34:48	30.40688	-97.72245	243.8
T	11/26/2012 16:34:57	30.40560	-97.72473	247.7
T	11/26/2012 16:34:58	30.40544	-97.72497	247.7
